Course Code,Title,Credit,CTE,English,Math,PE,Science,Social Studies,V&P Arts,Other,Course Equiv,Quant
121SCI,9th Grade Science & Engineering,1,X,O,O,O,X,O,O,O,X,X
CTE201,Accounting I,0.5,X,O,O,O,O,O,O,O,O,X
CTE205,Accounting II,0.5,X,O,O,O,O,O,O,O,O,X
039MTH,Acheive Algebra 1 (IEP),1,O,O,X,O,O,O,O,O,O,X
"081ENG, 083ENG, 085ENG, 087ENG",Achieve ELA (IEP),.5 or 1.0,O,X,O,O,O,O,O,O,O,O
041MTH,Achieve Geometry (IEP),1,O,O,X,O,O,O,O,O,O,X
STS025/026,Achieve Social Skills (IEP),.5 or 1.0,O,O,O,O,O,O,O,Elective,O,O
011STS,Adaptive Academics (IEP),1,O,O,O,O,O,O,O,Elective,O,O
021STS,Adaptive Community Access (IEP),1,O,O,O,O,O,O,O,Elective,O,O
031STS,Adaptive Daily Living (IEP),1,O,O,O,O,O,O,O,Elective,O,O
021MTH,Adaptive Mathematics (IEP),1,O,O,X,O,O,O,O,O,O,X
PED218/247,Adaptive PE (IEP),1,O,O,O,X,O,O,O,O,O,O
021ENG,Adaptive Reading (IEP),1,O,X,O,O,O,O,O,O,O,O
051STS,Adaptive Vocational Experience (IEP),1,O,O,O,O,O,O,O,Elective,O,O
041ENG,Adaptive Written Language (IEP),1,O,X,O,O,O,O,O,O,O,O
PED309/310,Advanced Cardio & Core Training,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
ENG017/018,Advanced Composition & Literature (ELs),.5 or 1.0,O,O,O,O,O,O,O,Elective,O,O
403CTE,Advanced Computer Science Topics,1,X,O,O,O,O,O,O,O,O,X
PED341/342,Advanced Court Sports,.5 or 1.0,O,O,O,X,O,O,O,Elective,O,O
FAA205/206,Advanced Drama,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
FAA183,Advanced Glass Art,0.5,O,O,O,O,O,O,X,Elective,O,O
ENG517/518,Advanced Journalism,.5 or 1.0,O,O,O,O,O,O,O,Elective,O,O
SER201/202,Advanced Leadership,.5 or 1.0,O,O,O,O,O,O,O,Elective,O,O
PED331/332,Advanced Team Sports,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
PED311/312,Advanced Weight Training,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
101MTH,Algebra 1,1,O,O,X,O,O,O,O,O,O,X
301MTH,Algebra 2/Trigonometry,1,O,O,X,O,O,O,O,O,O,X
351MTH,Algebra 2/Trigonometry Honors,1,O,O,X,O,O,O,O,O,O,X
273SCI,Anatomy & Physiology,1,X,O,O,O,X,O,O,O,X,X
291SCI,AP Biology,1,O,O,O,O,X,O,O,O,O,X
591MTH,AP Calculus AB,1,O,O,X,O,O,O,O,O,O,X
593MTH,AP Calculus BC,1,O,O,X,O,O,O,O,O,O,X
391SCI,AP Chemistry,1,O,O,O,O,X,O,O,O,O,X
495WLA,AP Chinese Language & Culture,1,O,O,O,O,O,O,O,WL,O,O
337CTE,AP Computer Science A,1,X,O,O,O,X,O,O,O,X,X
481CTE,AP Computer Science Principles,1,X,O,O,O,X,O,O,O,X,X
391ENG,AP English Language & Composition,1,O,X,O,O,O,O,O,O,O,O
491ENG,AP English Literature & Composition,1,O,X,O,O,O,O,O,O,O,O
593SCI,AP Environmental Science,1,X,O,O,O,X,O,O,O,X,X
417WLA,AP French Language & Culture,1,O,O,O,O,O,O,O,WL,O,O
427WLA,AP German Language & Culture,1,O,O,O,O,O,O,O,WL,O,O
691SOC,AP Human Geography,1,O,O,O,O,O,X,O,O,O,O
495CTE,AP Macroeconomics,1,X,O,O,O,O,X,O,O,X,X
493CTE,AP Microeconomics,1,X,O,O,O,O,X,O,O,X,X
491SCI,AP Physics I,1,O,O,O,O,X,O,O,O,O,X
693SOC,AP Psychology,1,X,O,O,O,O,X,O,O,X,O
563CTE,AP Research – Elective ,1,X,O,O,O,O,O,O,CCRS+Elec,X,O
551CTE,AP Research – English Elective,1,X,O,O,O,O,O,O,CCRS+Elec,X,O
555CTE,AP Research – Mathematics,1,X,O,X,O,O,O,O,CCRS,X,O
557CTE,AP Research – Science ,1,X,O,O,O,X,O,O,CCRS,X,O
553CTE,AP Research – Social Studies,1,X,O,O,O,O,X,O,CCRS,X,O
561CTE,AP Research – V&P Arts ,1,X,O,O,O,O,O,X,CCRS,X,O
363CTE,AP Seminar,1,X,X,Course Equivalency will be offered for English 2 or English 3 depending on student’s grade level and high school English courses completed.,X,O,O,O,O,O,O
491WLA,AP Spanish Language & Culture,1,O,O,O,O,O,O,O,WL,O,O
401WLA,AP Spanish Literature & Culture,1,O,O,O,O,O,O,O,WL,O,O
691MTH,AP Statistics,1,O,O,X,O,O,O,O,O,O,X
391CTE,AP Studio Art: 2-D Design,1,X,O,O,O,O,O,X,O,X,O
393CTE,AP Studio Art: 3-D Design,1,X,O,O,O,O,O,X,O,X,O
575CTE,AP Studio Art: Drawing,1,X,O,O,O,O,O,X,O,X,O
591SOC,AP U.S. Government & Politics,1,O,O,O,O,O,X,O,CCRS,X,O
391SOC,AP U.S. History,1,O,O,O,O,O,X,O,O,O,O
291SOC,AP World History,1,O,O,O,O,O,X,O,O,O,O
FAA231/232,Art Peer Tutor,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
301SER,ASB Leadership,1,O,O,O,O,O,O,O,Elective,O,O
501SCI,Astronomy & Aerospace Engineering,1,O,O,O,O,X,O,O,O,O,X
